"","race_grouping","aggregate_sentence_length"
"9446","Non Indigenous",1826
"9447","Indigenous",3430
"9448","Non Indigenous",1157
"9449","Indigenous",1765
"9450","Non Indigenous",1461
"9451","Indigenous",1946
"9452","Non Indigenous",2434
"9453","Non Indigenous",1505
"9454","Non Indigenous",2160
"9455","Non Indigenous",2192
"9456","Non Indigenous",3401
"9457","Indigenous",1096
"9458","Non Indigenous",1096
"9459","Indigenous",4202
"9460","Non Indigenous",5844
"9461","Non Indigenous",5298
"9462","Indigenous",946
"9463","Non Indigenous",974
"9464","Non Indigenous",731
"9465","Non Indigenous",1826
"9466","Non Indigenous",749
"9467","Non Indigenous",1057
"9468","Indigenous",4201
"9469","Non Indigenous",731
"9470","Indigenous",1687
"9471","Non Indigenous",1461
"9472","Non Indigenous",1370
"9473","Non Indigenous",1236
"9474","Indigenous",1551
"9475","Non Indigenous",894
"9476","Non Indigenous",2008
"9477","Non Indigenous",730
"9478","Non Indigenous",760
"9479","Non Indigenous",3652
"9480","Non Indigenous",732
"9481","Non Indigenous",1839
"9482","Non Indigenous",913
"9483","Non Indigenous",960
"9484","Non Indigenous",1461
"9485","Non Indigenous",2387
"9486","Indigenous",1444
"9487","Non Indigenous",730
"9488","Indigenous",3835
"9489","Non Indigenous",3043
"9490","Non Indigenous",1369
"9491","Non Indigenous",730
"9492","Non Indigenous",2175
"9493","Non Indigenous",731
"9494","Indigenous",2860
"9495","Non Indigenous",1096
"9496","Non Indigenous",7305
"9497","Indigenous",6102
"9498","Non Indigenous",1857
"9499","Non Indigenous",1826
"9500","Non Indigenous",1650
"9501","Non Indigenous",2662
"9502","Non Indigenous",731
"9503","Indigenous",888
"9504","Non Indigenous",731
"9505","Non Indigenous",1003
"9506","Non Indigenous",731
"9507","Non Indigenous",1127
"9508","Non Indigenous",1461
"9509","Non Indigenous",3287
"9510","Non Indigenous",4322
"9511","Non Indigenous",3758
"9512","Non Indigenous",820
"9513","Non Indigenous",1152
"9514","Non Indigenous",2679
"9515","Indigenous",731
"9516","Indigenous",739
"9517","Indigenous",3941
"9518","Non Indigenous",1096
"9519","Non Indigenous",1852
"9520","Indigenous",1548
"9521","Non Indigenous",2863
"9522","Non Indigenous",1720
"9523","Non Indigenous",1643
"9524","Non Indigenous",1461
"9525","Non Indigenous",1339
"9526","Non Indigenous",730
"9527","Non Indigenous",3362
"9528","Non Indigenous",4123
"9529","Non Indigenous",1887
"9530","Non Indigenous",1461
"9531","Non Indigenous",4079
"9532","Non Indigenous",1613
"9533","Non Indigenous",2611
"9534","Indigenous",735
"9535","Non Indigenous",2192
"9536","Non Indigenous",1826
"9537","Non Indigenous",1279
"9538","Non Indigenous",2178
"9539","Non Indigenous",4736
"9540","Non Indigenous",7305
"9541","Indigenous",3311
"9542","Indigenous",1095
"9543","Non Indigenous",914
"9544","Indigenous",1827
"9545","Non Indigenous",730
"9546","Indigenous",1338
"9547","Indigenous",1370
"9548","Non Indigenous",730
"9549","Indigenous",1795
"9550","Non Indigenous",1277
"9551","Non Indigenous",1279
"9552","Non Indigenous",731
"9553","Non Indigenous",1097
"9554","Non Indigenous",3403
"9555","Non Indigenous",1461
"9556","Non Indigenous",3116
"9557","Non Indigenous",2176
"9558","Indigenous",5245
"9559","Indigenous",1930
"9560","Indigenous",2392
"9561","Indigenous",1804
"9562","Indigenous",2174
"9563","Non Indigenous",2373
"9564","Non Indigenous",1026
"9565","Indigenous",2770
"9566","Non Indigenous",1882
"9567","Non Indigenous",731
"9568","Indigenous",5904
"9569","Non Indigenous",2479
"9570","Non Indigenous",1461
"9571","Non Indigenous",2993
"9572","Non Indigenous",1461
"9573","Indigenous",1688
"9574","Non Indigenous",1979
"9575","Non Indigenous",1188
"9576","Non Indigenous",875
"9577","Non Indigenous",1461
"9578","Indigenous",732
"9579","Non Indigenous",1278
"9580","Non Indigenous",731
"9581","Non Indigenous",915
"9582","Non Indigenous",1165
"9583","Non Indigenous",2039
"9584","Indigenous",2010
"9585","Non Indigenous",911
"9586","Non Indigenous",1341
"9587","Non Indigenous",2922
"9588","Non Indigenous",1096
"9589","Indigenous",6041
"9590","Indigenous",1080
"9591","Indigenous",2054
"9592","Non Indigenous",915
"9593","Non Indigenous",2342
"9594","Indigenous",1353
"9595","Non Indigenous",1635
"9596","Indigenous",5479
"9597","Indigenous",1856
"9598","Non Indigenous",6724
"9599","Non Indigenous",1947
"9600","Non Indigenous",2556
"9601","Non Indigenous",730
"9602","Indigenous",822
"9603","Non Indigenous",1218
"9604","Indigenous",731
"9605","Non Indigenous",2191
"9606","Non Indigenous",2086
"9607","Non Indigenous",915
"9608","Non Indigenous",1035
"9609","Non Indigenous",2191
"9610","Non Indigenous",2556
"9611","Non Indigenous",1572
"9612","Non Indigenous",912
"9613","Non Indigenous",821
"9614","Indigenous",1918
"9615","Indigenous",1959
"9616","Non Indigenous",1338
"9617","Non Indigenous",731
"9618","Non Indigenous",1098
"9619","Indigenous",911
"9620","Non Indigenous",751
"9621","Indigenous",731
"9622","Non Indigenous",1349
"9623","Non Indigenous",2030
"9624","Non Indigenous",1403
"9625","Non Indigenous",1779
"9626","Indigenous",865
"9627","Non Indigenous",1475
"9628","Non Indigenous",5347
"9629","Indigenous",6574
"9630","Non Indigenous",1400
"9631","Non Indigenous",1589
"9632","Non Indigenous",1158
"9633","Non Indigenous",1431
"9634","Indigenous",1400
"9635","Non Indigenous",20820
"9636","Non Indigenous",11382
"9637","Indigenous",1482
"9638","Non Indigenous",1552
"9639","Indigenous",1216
"9640","Non Indigenous",1618
"9641","Non Indigenous",3605
"9642","Non Indigenous",1826
"9643","Non Indigenous",3103
"9644","Indigenous",746
"9645","Non Indigenous",1116
"9646","Non Indigenous",731
"9647","Non Indigenous",730
"9648","Non Indigenous",731
"9649","Non Indigenous",2922
"9650","Non Indigenous",6392
"9651","Non Indigenous",912
"9652","Indigenous",884
"9653","Non Indigenous",2191
"9654","Non Indigenous",976
"9655","Non Indigenous",973
"9656","Non Indigenous",2191
"9657","Non Indigenous",730
"9658","Non Indigenous",1948
"9659","Non Indigenous",912
"9660","Indigenous",731
"9661","Indigenous",771
"9662","Indigenous",1887
"9663","Non Indigenous",975
"9664","Indigenous",1432
"9665","Non Indigenous",1399
"9666","Non Indigenous",1461
"9667","Non Indigenous",789
"9668","Non Indigenous",1977
"9669","Non Indigenous",731
"9670","Non Indigenous",913
"9671","Non Indigenous",1060
"9672","Non Indigenous",730
"9673","Non Indigenous",1217
"9674","Non Indigenous",1095
"9675","Non Indigenous",1584
"9676","Non Indigenous",1280
"9677","Non Indigenous",823
"9678","Non Indigenous",916
"9679","Indigenous",3014
"9680","Non Indigenous",2145
"9681","Non Indigenous",1096
"9682","Non Indigenous",730
"9683","Non Indigenous",1034
"9684","Indigenous",730
"9685","Non Indigenous",1129
"9686","Non Indigenous",1075
"9687","Non Indigenous",1277
"9688","Non Indigenous",1403
"9689","Non Indigenous",3791
"9690","Non Indigenous",9610
"9691","Non Indigenous",2922
"9692","Indigenous",2557
"9693","Non Indigenous",2922
"9694","Non Indigenous",730
"9695","Non Indigenous",913
"9696","Non Indigenous",731
"9697","Indigenous",1096
"9698","Non Indigenous",3534
"9699","Non Indigenous",2845
"9700","Non Indigenous",882
"9701","Non Indigenous",1947
"9702","Non Indigenous",1005
"9703","Indigenous",731
"9704","Non Indigenous",731
"9705","Non Indigenous",914
"9706","Indigenous",3105
"9707","Non Indigenous",1157
"9708","Non Indigenous",1279
"9709","Indigenous",1642
"9710","Indigenous",3297
"9711","Non Indigenous",4383
"9712","Non Indigenous",2556
"9713","Non Indigenous",1618
"9714","Non Indigenous",975
"9715","Indigenous",731
"9716","Non Indigenous",1838
"9717","Non Indigenous",1826
"9718","Indigenous",9131
"9719","Non Indigenous",3210
"9720","Non Indigenous",1455
"9721","Indigenous",1765
"9722","Non Indigenous",2348
"9723","Non Indigenous",3921
"9724","Indigenous",3044
"9725","Non Indigenous",791
"9726","Non Indigenous",1232
"9727","Non Indigenous",2648
"9728","Non Indigenous",791
"9729","Indigenous",1262
"9730","Non Indigenous",1257
"9731","Non Indigenous",1279
"9732","Non Indigenous",1142
"9733","Non Indigenous",1278
"9734","Non Indigenous",2434
"9735","Non Indigenous",2066
"9736","Non Indigenous",1826
"9737","Non Indigenous",1398
"9738","Non Indigenous",731
"9739","Non Indigenous",730
"9740","Indigenous",4383
"9741","Indigenous",931
"9742","Indigenous",730
"9743","Non Indigenous",731
"9744","Non Indigenous",5113
"9745","Non Indigenous",1813
"9746","Non Indigenous",1461
"9747","Indigenous",851
"9748","Indigenous",1826
"9749","Non Indigenous",915
"9750","Non Indigenous",3487
"9751","Non Indigenous",1096
"9752","Non Indigenous",4748
"9753","Indigenous",730
"9754","Indigenous",6575
"9755","Non Indigenous",730
"9756","Non Indigenous",1126
"9757","Non Indigenous",771
"9758","Non Indigenous",1827
"9759","Indigenous",730
"9760","Non Indigenous",852
"9761","Indigenous",731
"9762","Indigenous",731
"9763","Non Indigenous",1461
"9764","Indigenous",3652
"9765","Indigenous",731
"9766","Indigenous",1826
"9767","Non Indigenous",732
"9768","Non Indigenous",3356
"9769","Non Indigenous",731
"9770","Indigenous",1534
"9771","Non Indigenous",2129
"9772","Non Indigenous",2649
"9773","Non Indigenous",1552
"9774","Indigenous",2922
"9775","Non Indigenous",2892
"9776","Non Indigenous",730
"9777","Non Indigenous",1095
"9778","Non Indigenous",2738
"9779","Non Indigenous",1817
"9780","Non Indigenous",1034
"9781","Non Indigenous",1277
"9782","Non Indigenous",737
"9783","Indigenous",1461
"9784","Non Indigenous",730
"9785","Indigenous",731
"9786","Indigenous",731
"9787","Non Indigenous",3927
"9788","Indigenous",3806
"9789","Indigenous",1277
"9790","Non Indigenous",2773
"9791","Non Indigenous",2556
"9792","Non Indigenous",3531
"9793","Indigenous",730
"9794","Indigenous",890
"9795","Non Indigenous",1099
"9796","Indigenous",1434
"9797","Non Indigenous",731
"9798","Non Indigenous",731
"9799","Non Indigenous",2402
"9800","Non Indigenous",2720
"9801","Indigenous",1765
"9802","Non Indigenous",731
"9803","Indigenous",4840
"9804","Non Indigenous",1765
"9805","Non Indigenous",1093
"9806","Non Indigenous",730
"9807","Non Indigenous",820
"9808","Non Indigenous",735
"9809","Non Indigenous",1278
"9810","Non Indigenous",1826
"9811","Non Indigenous",1611
"9812","Non Indigenous",1216
"9813","Indigenous",5267
"9814","Non Indigenous",1461
"9815","Non Indigenous",1155
"9816","Non Indigenous",1933
"9817","Non Indigenous",731
"9818","Non Indigenous",1553
"9819","Non Indigenous",1627
"9820","Non Indigenous",1642
"9821","Non Indigenous",1666
"9822","Indigenous",2420
"9823","Non Indigenous",6210
"9824","Non Indigenous",731
"9825","Non Indigenous",2192
"9826","Non Indigenous",2465
"9827","Non Indigenous",730
"9828","Non Indigenous",1126
"9829","Non Indigenous",854
"9830","Indigenous",852
"9831","Non Indigenous",913
"9832","Indigenous",1483
"9833","Non Indigenous",2191
"9834","Indigenous",1887
"9835","Non Indigenous",1157
"9836","Non Indigenous",1096
"9837","Non Indigenous",731
"9838","Non Indigenous",730
"9839","Indigenous",838
"9840","Non Indigenous",5844
"9841","Non Indigenous",2765
"9842","Non Indigenous",1096
"9843","Indigenous",2664
"9844","Non Indigenous",731
"9845","Non Indigenous",4749
"9846","Non Indigenous",1089
"9847","Non Indigenous",730
"9848","Non Indigenous",836
"9849","Non Indigenous",1433
"9850","Non Indigenous",731
"9851","Non Indigenous",3471
"9852","Non Indigenous",1642
"9853","Non Indigenous",1009
"9854","Non Indigenous",3651
"9855","Non Indigenous",914
"9856","Non Indigenous",1826
"9857","Non Indigenous",1400
"9858","Non Indigenous",1861
"9859","Indigenous",2191
"9860","Non Indigenous",1186
"9861","Non Indigenous",730
"9862","Non Indigenous",1253
"9863","Non Indigenous",7305
"9864","Non Indigenous",1490
"9865","Non Indigenous",2126
"9866","Indigenous",913
"9867","Non Indigenous",1749
"9868","Non Indigenous",851
"9869","Non Indigenous",1688
"9870","Non Indigenous",1096
"9871","Non Indigenous",3398
"9872","Non Indigenous",730
"9873","Non Indigenous",2379
"9874","Non Indigenous",1736
"9875","Non Indigenous",1826
"9876","Non Indigenous",731
"9877","Non Indigenous",928
"9878","Non Indigenous",1096
"9879","Non Indigenous",986
"9880","Non Indigenous",730
"9881","Indigenous",3470
"9882","Indigenous",1827
"9883","Non Indigenous",1643
"9884","Indigenous",1096
"9885","Non Indigenous",853
"9886","Non Indigenous",1370
"9887","Non Indigenous",1096
"9888","Non Indigenous",1979
"9889","Non Indigenous",3652
"9890","Indigenous",950
"9891","Non Indigenous",1703
"9892","Indigenous",1126
"9893","Non Indigenous",730
"9894","Non Indigenous",1461
"9895","Non Indigenous",1978
"9896","Non Indigenous",2405
"9897","Indigenous",2099
"9898","Indigenous",3652
"9899","Non Indigenous",1296
"9900","Non Indigenous",1147
"9901","Non Indigenous",1798
"9902","Indigenous",1781
"9903","Indigenous",4018
"9904","Non Indigenous",2099
"9905","Indigenous",2771
"9906","Non Indigenous",2099
"9907","Non Indigenous",1461
"9908","Non Indigenous",2526
"9909","Non Indigenous",2373
"9910","Indigenous",2496
"9911","Non Indigenous",1645
"9912","Non Indigenous",731
"9913","Indigenous",2983
"9914","Non Indigenous",1459
"9915","Non Indigenous",3833
"9916","Non Indigenous",5607
"9917","Non Indigenous",1461
"9918","Indigenous",1303
"9919","Non Indigenous",1461
"9920","Indigenous",806
"9921","Non Indigenous",1101
"9922","Indigenous",730
"9923","Non Indigenous",912
"9924","Non Indigenous",1461
"9925","Non Indigenous",835
"9926","Indigenous",2984
"9927","Non Indigenous",731
"9928","Indigenous",853
"9929","Non Indigenous",1643
"9930","Non Indigenous",10413
"9931","Non Indigenous",1461
"9932","Non Indigenous",730
"9933","Indigenous",1279
"9934","Non Indigenous",761
"9935","Non Indigenous",1065
"9936","Indigenous",1892
"9937","Non Indigenous",2948
"9938","Indigenous",1035
"9939","Non Indigenous",1826
"9940","Non Indigenous",2010
"9941","Non Indigenous",1172
"9942","Non Indigenous",1095
"9943","Indigenous",912
"9944","Indigenous",5479
"9945","Non Indigenous",914
"9946","Indigenous",747
"9947","Non Indigenous",1948
"9948","Non Indigenous",2420
"9949","Non Indigenous",5323
"9950","Non Indigenous",1373
"9951","Non Indigenous",734
"9952","Non Indigenous",917
"9953","Non Indigenous",1780
"9954","Non Indigenous",731
"9955","Non Indigenous",8157
"9956","Indigenous",730
"9957","Indigenous",731
"9958","Indigenous",737
"9959","Non Indigenous",731
"9960","Non Indigenous",1096
"9961","Non Indigenous",1095
"9962","Non Indigenous",900
"9963","Indigenous",1067
"9964","Non Indigenous",731
"9965","Non Indigenous",911
"9966","Non Indigenous",910
"9967","Non Indigenous",1461
"9968","Non Indigenous",1827
"9969","Indigenous",2743
"9970","Indigenous",1102
"9971","Non Indigenous",2830
"9972","Non Indigenous",949
"9973","Non Indigenous",730
"9974","Non Indigenous",1826
"9975","Non Indigenous",1506
"9976","Non Indigenous",2336
"9977","Non Indigenous",1583
"9978","Non Indigenous",2099
"9979","Indigenous",4199
"9980","Non Indigenous",1644
"9981","Non Indigenous",1369
"9982","Non Indigenous",808
"9983","Non Indigenous",1280
"9984","Non Indigenous",1695
"9985","Non Indigenous",1491
"9986","Non Indigenous",1857
"9987","Non Indigenous",2922
"9988","Non Indigenous",3410
"9989","Non Indigenous",2191
"9990","Non Indigenous",942
"9991","Non Indigenous",731
"9992","Non Indigenous",3163
"9993","Non Indigenous",1096
"9994","Indigenous",1462
"9995","Non Indigenous",914
"9996","Non Indigenous",2387
"9997","Non Indigenous",3011
"9998","Non Indigenous",1461
"9999","Non Indigenous",1034
"10000","Non Indigenous",1827
"10001","Non Indigenous",1977
"10002","Indigenous",1234
"10003","Indigenous",2861
"10004","Non Indigenous",1232
"10005","Non Indigenous",731
"10006","Non Indigenous",731
"10007","Indigenous",731
"10008","Non Indigenous",731
"10009","Non Indigenous",2420
"10010","Non Indigenous",901
"10011","Non Indigenous",1277
"10012","Non Indigenous",731
"10013","Non Indigenous",1614
"10014","Indigenous",1216
"10015","Non Indigenous",5153
"10016","Non Indigenous",1278
"10017","Non Indigenous",1354
"10018","Non Indigenous",1827
"10019","Non Indigenous",915
"10020","Non Indigenous",1613
"10021","Non Indigenous",2525
"10022","Non Indigenous",2740
"10023","Non Indigenous",1891
"10024","Indigenous",738
"10025","Indigenous",833
"10026","Indigenous",3744
"10027","Non Indigenous",1858
"10028","Non Indigenous",2557
"10029","Non Indigenous",6575
"10030","Non Indigenous",731
"10031","Non Indigenous",1461
"10032","Indigenous",2386
"10033","Non Indigenous",852
"10034","Non Indigenous",730
"10035","Non Indigenous",1004
"10036","Non Indigenous",1096
"10037","Non Indigenous",3287
"10038","Non Indigenous",2637
"10039","Non Indigenous",730
"10040","Indigenous",1051
"10041","Non Indigenous",2375
"10042","Non Indigenous",2738
"10043","Non Indigenous",1571
"10044","Non Indigenous",1675
"10045","Non Indigenous",1307
"10046","Non Indigenous",4493
"10047","Non Indigenous",3134
"10048","Non Indigenous",1492
"10049","Non Indigenous",1978
"10050","Non Indigenous",1096
"10051","Non Indigenous",730
"10052","Non Indigenous",1856
"10053","Non Indigenous",730
"10054","Non Indigenous",1271
"10055","Non Indigenous",1096
"10056","Non Indigenous",1564
"10057","Non Indigenous",1269
"10058","Non Indigenous",1461
"10059","Non Indigenous",5113
"10060","Non Indigenous",938
"10061","Non Indigenous",731
"10062","Non Indigenous",1979
"10063","Indigenous",2192
"10064","Indigenous",3850
"10065","Non Indigenous",1921
"10066","Non Indigenous",1461
"10067","Non Indigenous",1203
"10068","Non Indigenous",3256
"10069","Non Indigenous",3167
"10070","Non Indigenous",1096
"10071","Non Indigenous",730
"10072","Non Indigenous",5479
"10073","Non Indigenous",1717
"10074","Non Indigenous",1095
"10075","Non Indigenous",1118
"10076","Non Indigenous",1826
"10077","Non Indigenous",1461
"10078","Indigenous",746
"10079","Non Indigenous",3561
"10080","Non Indigenous",3529
"10081","Non Indigenous",1443
"10082","Non Indigenous",730
"10083","Indigenous",1035
"10084","Non Indigenous",1826
"10085","Non Indigenous",2557
"10086","Non Indigenous",3775
"10087","Non Indigenous",1645
"10088","Non Indigenous",731
"10089","Non Indigenous",730
"10090","Non Indigenous",3500
"10091","Non Indigenous",853
"10092","Indigenous",1157
"10093","Non Indigenous",1857
"10094","Non Indigenous",1280
"10095","Non Indigenous",2192
"10096","Non Indigenous",2402
"10097","Non Indigenous",1200
"10098","Non Indigenous",1461
"10099","Non Indigenous",1230
"10100","Indigenous",1096
"10101","Indigenous",765
"10102","Non Indigenous",761
"10103","Non Indigenous",3044
"10104","Non Indigenous",1461
"10105","Non Indigenous",1765
"10106","Non Indigenous",1371
"10107","Non Indigenous",1826
"10108","Indigenous",730
"10109","Non Indigenous",1841
"10110","Non Indigenous",3554
"10111","Non Indigenous",1461
"10112","Non Indigenous",1978
"10113","Non Indigenous",1522
"10114","Non Indigenous",731
"10115","Non Indigenous",1338
"10116","Non Indigenous",6575
"10117","Non Indigenous",2557
"10118","Indigenous",1551
"10119","Non Indigenous",2922
"10120","Indigenous",730
"10121","Non Indigenous",2830
"10122","Non Indigenous",1096
"10123","Indigenous",851
"10124","Non Indigenous",1826
"10125","Non Indigenous",1176
"10126","Non Indigenous",1797
"10127","Non Indigenous",1826
"10128","Indigenous",730
"10129","Non Indigenous",1044
"10130","Non Indigenous",820
"10131","Indigenous",731
"10132","Indigenous",1096
"10133","Indigenous",868
"10134","Non Indigenous",730
"10135","Non Indigenous",1461
"10136","Indigenous",831
"10137","Non Indigenous",5844
"10138","Indigenous",731
"10139","Non Indigenous",2341
"10140","Non Indigenous",4993
"10141","Non Indigenous",1625
"10142","Indigenous",1377
"10143","Non Indigenous",2130
"10144","Indigenous",1887
"10145","Non Indigenous",1581
"10146","Non Indigenous",744
"10147","Indigenous",1704
"10148","Non Indigenous",1797
"10149","Non Indigenous",1096
"10150","Non Indigenous",1461
"10151","Non Indigenous",731
"10152","Non Indigenous",1461
"10153","Non Indigenous",1278
"10154","Indigenous",2469
"10155","Non Indigenous",2237
"10156","Non Indigenous",2058
"10157","Non Indigenous",1127
"10158","Non Indigenous",1826
"10159","Non Indigenous",1491
"10160","Indigenous",1143
"10161","Indigenous",731
"10162","Non Indigenous",3897
"10163","Non Indigenous",2541
"10164","Non Indigenous",1096
"10165","Non Indigenous",2617
"10166","Non Indigenous",2556
"10167","Non Indigenous",2055
"10168","Indigenous",943
"10169","Non Indigenous",1280
"10170","Non Indigenous",912
"10171","Non Indigenous",1369
"10172","Non Indigenous",1826
"10173","Non Indigenous",1461
"10174","Non Indigenous",730
"10175","Non Indigenous",1141
"10176","Non Indigenous",2373
"10177","Non Indigenous",2510
"10178","Non Indigenous",1323
"10179","Non Indigenous",1309
"10180","Indigenous",1826
"10181","Non Indigenous",1309
"10182","Non Indigenous",2161
"10183","Non Indigenous",2922
"10184","Non Indigenous",2157
"10185","Non Indigenous",730
"10186","Non Indigenous",730
"10187","Non Indigenous",5725
"10188","Non Indigenous",3105
"10189","Non Indigenous",2009
"10190","Non Indigenous",1061
"10191","Non Indigenous",730
"10192","Indigenous",2191
"10193","Non Indigenous",1413
"10194","Indigenous",2557
"10195","Non Indigenous",1919
"10196","Non Indigenous",2374
"10197","Non Indigenous",1096
"10198","Non Indigenous",1461
"10199","Indigenous",3653
"10200","Non Indigenous",1371
"10201","Indigenous",2069
"10202","Non Indigenous",4594
"10203","Indigenous",2740
"10204","Indigenous",1370
"10205","Indigenous",1096
"10206","Non Indigenous",1764
"10207","Non Indigenous",1396
"10208","Non Indigenous",1946
"10209","Non Indigenous",730
"10210","Non Indigenous",1096
"10211","Non Indigenous",1835
"10212","Indigenous",743
"10213","Non Indigenous",1826
"10214","Non Indigenous",1461
"10215","Indigenous",1682
"10216","Indigenous",1277
"10217","Non Indigenous",2603
"10218","Non Indigenous",4657
"10219","Non Indigenous",2738
"10220","Indigenous",1095
"10221","Non Indigenous",1461
"10222","Non Indigenous",1461
"10223","Indigenous",2561
"10224","Non Indigenous",1732
"10225","Non Indigenous",1461
"10226","Non Indigenous",3103
"10227","Non Indigenous",1826
"10228","Non Indigenous",731
"10229","Non Indigenous",740
"10230","Non Indigenous",973
"10231","Non Indigenous",730
"10232","Non Indigenous",1141
"10233","Non Indigenous",926
"10234","Indigenous",884
"10235","Non Indigenous",731
"10236","Non Indigenous",912
"10237","Indigenous",930
"10238","Indigenous",1066
"10239","Non Indigenous",730
"10240","Indigenous",1948
"10241","Indigenous",1308
"10242","Indigenous",1369
"10243","Non Indigenous",2830
"10244","Non Indigenous",2540
"10245","Non Indigenous",1025
"10246","Non Indigenous",5007
"10247","Non Indigenous",1095
"10248","Indigenous",912
"10249","Non Indigenous",730
"10250","Non Indigenous",2284
"10251","Indigenous",3744
"10252","Non Indigenous",1096
"10253","Non Indigenous",2041
"10254","Indigenous",1916
"10255","Indigenous",1461
"10256","Non Indigenous",2583
"10257","Indigenous",730
"10258","Non Indigenous",23011
"10259","Non Indigenous",8668
"10260","Non Indigenous",1100
"10261","Indigenous",798
"10262","Non Indigenous",3434
"10263","Non Indigenous",3791
"10264","Non Indigenous",1278
"10265","Non Indigenous",2476
"10266","Non Indigenous",3563
"10267","Non Indigenous",1095
"10268","Non Indigenous",1339
"10269","Indigenous",850
"10270","Indigenous",2858
"10271","Non Indigenous",1461
"10272","Non Indigenous",731
"10273","Non Indigenous",1740
"10274","Non Indigenous",2585
"10275","Indigenous",3287
"10276","Indigenous",1749
"10277","Non Indigenous",2479
"10278","Indigenous",1159
"10279","Non Indigenous",1035
"10280","Non Indigenous",1260
"10281","Non Indigenous",1979
"10282","Non Indigenous",3834
"10283","Non Indigenous",2860
"10284","Non Indigenous",1049
"10285","Non Indigenous",1096
"10286","Non Indigenous",1362
"10287","Non Indigenous",3180
"10288","Non Indigenous",731
"10289","Indigenous",2191
"10290","Non Indigenous",3653
"10291","Non Indigenous",2192
"10292","Non Indigenous",2525
"10293","Indigenous",730
"10294","Non Indigenous",1744
"10295","Non Indigenous",730
"10296","Indigenous",1785
"10297","Non Indigenous",2342
"10298","Non Indigenous",807
"10299","Non Indigenous",2029
"10300","Indigenous",1112
"10301","Non Indigenous",1278
"10302","Non Indigenous",1278
"10303","Non Indigenous",2476
"10304","Non Indigenous",730
"10305","Non Indigenous",1826
"10306","Non Indigenous",760
"10307","Non Indigenous",744
"10308","Non Indigenous",1643
"10309","Indigenous",3193
"10310","Non Indigenous",1905
"10311","Non Indigenous",1796
"10312","Non Indigenous",1095
"10313","Non Indigenous",2162
"10314","Non Indigenous",13289
"10315","Non Indigenous",1553
"10316","Non Indigenous",2407
"10317","Non Indigenous",818
"10318","Non Indigenous",3652
"10319","Non Indigenous",1095
"10320","Non Indigenous",1523
"10321","Non Indigenous",1461
"10322","Non Indigenous",1232
"10323","Indigenous",958
"10324","Non Indigenous",981
"10325","Indigenous",731
"10326","Indigenous",2118
"10327","Indigenous",960
"10328","Non Indigenous",1540
"10329","Non Indigenous",2312
"10330","Indigenous",958
"10331","Non Indigenous",732
"10332","Indigenous",1512
"10333","Non Indigenous",1826
"10334","Non Indigenous",979
"10335","Indigenous",915
"10336","Non Indigenous",5113
"10337","Non Indigenous",1280
"10338","Non Indigenous",1096
"10339","Non Indigenous",760
"10340","Non Indigenous",3287
"10341","Indigenous",1567
"10342","Non Indigenous",1734
"10343","Indigenous",732
"10344","Indigenous",1020
"10345","Indigenous",730
"10346","Indigenous",1461
"10347","Non Indigenous",1506
"10348","Non Indigenous",752
"10349","Indigenous",1827
"10350","Indigenous",952
"10351","Non Indigenous",1391
"10352","Indigenous",730
"10353","Indigenous",1146
"10354","Non Indigenous",730
"10355","Indigenous",2757
"10356","Indigenous",2191
"10357","Non Indigenous",1826
"10358","Non Indigenous",731
"10359","Indigenous",862
"10360","Indigenous",1278
"10361","Non Indigenous",1461
"10362","Non Indigenous",747
"10363","Non Indigenous",1095
"10364","Indigenous",882
"10365","Non Indigenous",1826
"10366","Non Indigenous",2070
"10367","Non Indigenous",2008
"10368","Indigenous",6939
"10369","Indigenous",1279
"10370","Indigenous",874
"10371","Non Indigenous",731
"10372","Non Indigenous",731
"10373","Non Indigenous",1339
"10374","Non Indigenous",2456
"10375","Non Indigenous",912
"10376","Indigenous",1096
"10377","Indigenous",731
"10378","Non Indigenous",820
"10379","Non Indigenous",1096
"10380","Non Indigenous",759
"10381","Indigenous",730
"10382","Indigenous",1157
"10383","Non Indigenous",732
"10384","Indigenous",2619
"10385","Non Indigenous",731
"10386","Indigenous",1288
"10387","Indigenous",1856
"10388","Indigenous",2922
"10389","Non Indigenous",2147
"10390","Non Indigenous",2101
"10391","Non Indigenous",2375
"10392","Non Indigenous",1096
"10393","Non Indigenous",1642
"10394","Non Indigenous",3294
"10395","Non Indigenous",730
"10396","Non Indigenous",1933
"10397","Indigenous",2191
"10398","Non Indigenous",1277
"10399","Non Indigenous",1522
"10400","Non Indigenous",1836
"10401","Non Indigenous",1267
"10402","Indigenous",6418
"10403","Non Indigenous",4383
"10404","Non Indigenous",934
"10405","Non Indigenous",1673
"10406","Non Indigenous",1765
"10407","Non Indigenous",1643
"10408","Non Indigenous",1675
"10409","Non Indigenous",1050
"10410","Non Indigenous",2374
"10411","Non Indigenous",2922
"10412","Non Indigenous",2739
"10413","Non Indigenous",973
"10414","Non Indigenous",1461
"10415","Non Indigenous",1095
"10416","Non Indigenous",1141
"10417","Non Indigenous",1004
"10418","Non Indigenous",1415
"10419","Indigenous",1066
"10420","Indigenous",1430
"10421","Indigenous",1096
"10422","Non Indigenous",1387
"10423","Indigenous",1158
"10424","Indigenous",5632
"10425","Non Indigenous",1365
"10426","Non Indigenous",3652
"10427","Non Indigenous",4932
